date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
05/Sep/2014,19:45,Northampton,53,1,Gloucester,6,0,Franklin's Gardens,Wayne Barnes,59,H,N,19,Fri,Sep,2014,2014-15
05/Sep/2014,19:45,Gloucester,6,0,Northampton,53,1,Franklin's Gardens,Wayne Barnes,59,H,N,19,Fri,Sep,2014,2014-15
06/Sep/2014,14:00,Sale,20,0,Bath,29,0,AJ Bell Stadium,JP Doyle,49,A,N,14,Sat,Sep,2014,2014-15
06/Sep/2014,14:00,Bath,29,0,Sale,20,0,AJ Bell Stadium,JP Doyle,49,A,N,14,Sat,Sep,2014,2014-15
06/Sep/2014,14:00,Saracens,34,1,Wasps,28,1,Twickenham Stadium,Andrew Small,62,H,N,14,Sat,Sep,2014,2014-15
06/Sep/2014,14:00,Wasps,28,1,Saracens,34,1,Twickenham Stadium,Andrew Small,62,H,N,14,Sat,Sep,2014,2014-15
06/Sep/2014,15:00,Leicester,36,1,Newcastle,17,0,Welford Road,Luke Pearce,53,H,N,15,Sat,Sep,2014,2014-15
06/Sep/2014,15:00,Newcastle,17,0,Leicester,36,1,Welford Road,Luke Pearce,53,H,N,15,Sat,Sep,2014,2014-15
06/Sep/2014,16:30,London Irish,15,1,Harlequins,20,0,Twickenham Stadium,Greg Garner,35,A,N,16,Sat,Sep,2014,2014-15
06/Sep/2014,16:30,Harlequins,20,0,London Irish,15,1,Twickenham Stadium,Greg Garner,35,A,N,16,Sat,Sep,2014,2014-15
07/Sep/2014,14:00,London Welsh,0,0,Exeter,52,1,Kassam Stadium,Dean Richards,52,A,N,14,Sun,Sep,2014,2014-15
07/Sep/2014,14:00,Exeter,52,1,London Welsh,0,0,Kassam Stadium,Dean Richards,52,A,N,14,Sun,Sep,2014,2014-15
12/Sep/2014,19:45,Harlequins,0,0,Saracens,39,0,Twickenham Stoop,Wayne Barnes,39,A,N,19,Fri,Sep,2014,2014-15
12/Sep/2014,19:45,Saracens,39,0,Harlequins,0,0,Twickenham Stoop,Wayne Barnes,39,A,N,19,Fri,Sep,2014,2014-15
13/Sep/2014,15:00,Bath,53,1,London Welsh,26,1,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,London Welsh,26,1,Bath,53,1,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,Gloucester,34,0,Sale,27,2,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,Sale,27,2,Gloucester,34,0,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:15,Exeter,20,1,Leicester,24,0,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:15,Leicester,24,0,Exeter,20,1,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15
14/Sep/2014,14:00,Wasps,20,0,Northampton,16,1,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15
14/Sep/2014,14:00,Northampton,16,1,Wasps,20,0,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15
14/Sep/2014,15:00,Newcastle,18,1,London Irish,20,0,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15
14/Sep/2014,15:00,London Irish,20,0,Newcastle,18,1,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15
19/Sep/2014,19:45,Gloucester,22,1,Exeter,25,0,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15
19/Sep/2014,19:45,Exeter,25,0,Gloucester,22,1,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15
20/Sep/2014,14:00,Sale,46,1,London Welsh,8,0,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15
20/Sep/2014,14:00,London Welsh,8,0,Sale,46,1,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Harlequins,26,0,Wasps,23,1,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Wasps,23,1,Harlequins,26,0,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,London Irish,32,2,Saracens,36,0,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Saracens,36,0,London Irish,32,2,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:15,Bath,45,1,Leicester,0,0,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:15,Leicester,0,0,Bath,45,1,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15
21/Sep/2014,14:00,Newcastle,10,0,Northampton,35,1,Kingston Park,Greg Garner,45,A,N,14,Sun,Sep,2014,2014-15
21/Sep/2014,14:00,Northampton,35,1,Newcastle,10,0,Kingston Park,Greg Garner,45,A,N,14,Sun,Sep,2014,2014-15
26/Sep/2014,19:45,London Welsh,10,0,Gloucester,46,1,Kassam Stadium,Luke Pearce,56,A,N,19,Fri,Sep,2014,2014-15
26/Sep/2014,19:45,Gloucester,46,1,London Welsh,10,0,Kassam Stadium,Luke Pearce,56,A,N,19,Fri,Sep,2014,2014-15
27/Sep/2014,15:00,Leicester,19,1,London Irish,22,0,Welford Road,Greg Garner,41,A,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,London Irish,22,0,Leicester,19,1,Welford Road,Greg Garner,41,A,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,Saracens,40,1,Sale,19,0,Allianz Park,JP Doyle,59,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,Sale,19,0,Saracens,40,1,Allianz Park,JP Doyle,59,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:15,Northampton,31,1,Bath,24,1,Franklin's Gardens,Tim Wigglesworth,55,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:15,Bath,24,1,Northampton,31,1,Franklin's Gardens,Tim Wigglesworth,55,H,N,15,Sat,Sep,2014,2014-15
28/Sep/2014,14:00,Exeter,36,0,Harlequins,13,0,Sandy Park,Andrew Small,49,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Harlequins,13,0,Exeter,36,0,Sandy Park,Andrew Small,49,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Wasps,35,1,Newcastle,18,0,Adams Park,Dean Richards,53,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Newcastle,18,0,Wasps,35,1,Adams Park,Dean Richards,53,H,N,14,Sun,Sep,2014,2014-15
03/Oct/2014,19:45,Bath,21,0,Saracens,11,0,The Recreation Ground,Greg Garner,32,H,N,19,Fri,Oct,2014,2014-15
03/Oct/2014,19:45,Saracens,11,0,Bath,21,0,The Recreation Ground,Greg Garner,32,H,N,19,Fri,Oct,2014,2014-15
04/Oct/2014,15:00,Harlequins,52,1,London Welsh,0,0,Twickenham Stoop,Dean Richards,52,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,London Welsh,0,0,Harlequins,52,1,Twickenham Stoop,Dean Richards,52,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,London Irish,12,1,Northampton,19,0,Madejski Stadium,Matthew Carley,31,A,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,Northampton,19,0,London Irish,12,1,Madejski Stadium,Matthew Carley,31,A,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:15,Gloucester,33,0,Leicester,16,0,Kingsholm,Andrew Small,49,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:15,Leicester,16,0,Gloucester,33,0,Kingsholm,Andrew Small,49,H,N,15,Sat,Oct,2014,2014-15
05/Oct/2014,14:00,Sale,25,0,Wasps,14,0,AJ Bell Stadium,Luke Pearce,39,H,N,14,Sun,Oct,2014,2014-15
05/Oct/2014,14:00,Wasps,14,0,Sale,25,0,AJ Bell Stadium,Luke Pearce,39,H,N,14,Sun,Oct,2014,2014-15
05/Oct/2014,15:00,Newcastle,29,0,Exeter,24,1,Kingston Park,Tim Wigglesworth,53,H,N,15,Sun,Oct,2014,2014-15
05/Oct/2014,15:00,Exeter,24,1,Newcastle,29,0,Kingston Park,Tim Wigglesworth,53,H,N,15,Sun,Oct,2014,2014-15
10/Oct/2014,19:45,Leicester,22,0,Harlequins,16,1,Welford Road,Tim Wigglesworth,38,H,N,19,Fri,Oct,2014,2014-15
10/Oct/2014,19:45,Harlequins,16,1,Leicester,22,0,Welford Road,Tim Wigglesworth,38,H,N,19,Fri,Oct,2014,2014-15
11/Oct/2014,14:30,London Welsh,3,0,Newcastle,23,0,Kassam Stadium,Wayne Barnes,26,A,N,14,Sat,Oct,2014,2014-15
11/Oct/2014,14:30,Newcastle,23,0,London Welsh,3,0,Kassam Stadium,Wayne Barnes,26,A,N,14,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Exeter,44,1,London Irish,24,0,Sandy Park,Ian Tempest,68,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,London Irish,24,0,Exeter,44,1,Sandy Park,Ian Tempest,68,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Saracens,28,0,Gloucester,21,1,Allianz Park,Dean Richards,49,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Gloucester,21,1,Saracens,28,0,Allianz Park,Dean Richards,49,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:15,Northampton,43,1,Sale,10,0,Franklin's Gardens,Andrew Small,53,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:15,Sale,10,0,Northampton,43,1,Franklin's Gardens,Andrew Small,53,H,N,15,Sat,Oct,2014,2014-15
12/Oct/2014,14:00,Wasps,29,0,Bath,22,1,Adams Park,JP Doyle,51,H,N,14,Sun,Oct,2014,2014-15
12/Oct/2014,14:00,Bath,22,1,Wasps,29,0,Adams Park,JP Doyle,51,H,N,14,Sun,Oct,2014,2014-15
14/Nov/2014,19:45,Gloucester,15,1,Harlequins,22,0,Kingsholm,Andrew Small,37,A,N,19,Fri,Nov,2014,2014-15
14/Nov/2014,19:45,Harlequins,22,0,Gloucester,15,1,Kingsholm,Andrew Small,37,A,N,19,Fri,Nov,2014,2014-15
14/Nov/2014,19:45,Northampton,18,1,Exeter,24,0,Franklin's Gardens,Dean Richards,42,A,N,19,Fri,Nov,2014,2014-15
14/Nov/2014,19:45,Exeter,24,0,Northampton,18,1,Franklin's Gardens,Dean Richards,42,A,N,19,Fri,Nov,2014,2014-15
15/Nov/2014,12:00,Sale,36,1,London Irish,8,0,AJ Bell Stadium,Matthew Carley,44,H,N,12,Sat,Nov,2014,2014-15
15/Nov/2014,12:00,London Irish,8,0,Sale,36,1,AJ Bell Stadium,Matthew Carley,44,H,N,12,Sat,Nov,2014,2014-15
15/Nov/2014,17:00,Bath,23,0,Newcastle,14,0,The Recreation Ground,Ian Tempest,37,H,N,17,Sat,Nov,2014,2014-15
15/Nov/2014,17:00,Newcastle,14,0,Bath,23,0,The Recreation Ground,Ian Tempest,37,H,N,17,Sat,Nov,2014,2014-15
16/Nov/2014,13:00,Leicester,21,0,Saracens,21,0,Welford Road,Tim Wigglesworth,42,D,N,13,Sun,Nov,2014,2014-15
16/Nov/2014,13:00,Saracens,21,0,Leicester,21,0,Welford Road,Tim Wigglesworth,42,D,N,13,Sun,Nov,2014,2014-15
16/Nov/2014,15:15,Wasps,71,1,London Welsh,7,0,Adams Park,Thomas Foley,78,H,N,15,Sun,Nov,2014,2014-15
16/Nov/2014,15:15,London Welsh,7,0,Wasps,71,1,Adams Park,Thomas Foley,78,H,N,15,Sun,Nov,2014,2014-15
21/Nov/2014,19:45,Harlequins,12,1,Sale,16,0,Twickenham Stoop,Thomas Foley,28,A,N,19,Fri,Nov,2014,2014-15
21/Nov/2014,19:45,Sale,16,0,Harlequins,12,1,Twickenham Stoop,Thomas Foley,28,A,N,19,Fri,Nov,2014,2014-15
21/Nov/2014,20:00,Newcastle,20,0,Gloucester,10,0,Kingston Park,Tim Wigglesworth,30,H,N,20,Fri,Nov,2014,2014-15
21/Nov/2014,20:00,Gloucester,10,0,Newcastle,20,0,Kingston Park,Tim Wigglesworth,30,H,N,20,Fri,Nov,2014,2014-15
22/Nov/2014,15:00,Exeter,31,0,Wasps,15,0,Sandy Park,Ian Tempest,46,H,N,15,Sat,Nov,2014,2014-15
22/Nov/2014,15:00,Wasps,15,0,Exeter,31,0,Sandy Park,Ian Tempest,46,H,N,15,Sat,Nov,2014,2014-15
22/Nov/2014,15:00,London Irish,23,0,Bath,33,0,Madejski Stadium,Andrew Small,56,A,N,15,Sat,Nov,2014,2014-15
22/Nov/2014,15:00,Bath,33,0,London Irish,23,0,Madejski Stadium,Andrew Small,56,A,N,15,Sat,Nov,2014,2014-15
23/Nov/2014,13:00,Saracens,24,1,Northampton,31,0,Allianz Park,Matthew Carley,55,A,N,13,Sun,Nov,2014,2014-15
23/Nov/2014,13:00,Northampton,31,0,Saracens,24,1,Allianz Park,Matthew Carley,55,A,N,13,Sun,Nov,2014,2014-15
23/Nov/2014,15:15,London Welsh,5,0,Leicester,26,1,Kassam Stadium,Dean Richards,31,A,N,15,Sun,Nov,2014,2014-15
23/Nov/2014,15:15,Leicester,26,1,London Welsh,5,0,Kassam Stadium,Dean Richards,31,A,N,15,Sun,Nov,2014,2014-15
28/Nov/2014,19:45,Bath,25,1,Harlequins,6,0,The Recreation Ground,Wayne Barnes,31,H,N,19,Fri,Nov,2014,2014-15
28/Nov/2014,19:45,Harlequins,6,0,Bath,25,1,The Recreation Ground,Wayne Barnes,31,H,N,19,Fri,Nov,2014,2014-15
29/Nov/2014,15:00,Leicester,18,0,Wasps,16,1,Welford Road,Luke Pearce,34,H,N,15,Sat,Nov,2014,2014-15
29/Nov/2014,15:00,Wasps,16,1,Leicester,18,0,Welford Road,Luke Pearce,34,H,N,15,Sat,Nov,2014,2014-15
29/Nov/2014,16:30,Exeter,27,0,Saracens,19,0,Sandy Park,Greg Garner,46,H,N,16,Sat,Nov,2014,2014-15
29/Nov/2014,16:30,Saracens,19,0,Exeter,27,0,Sandy Park,Greg Garner,46,H,N,16,Sat,Nov,2014,2014-15
30/Nov/2014,13:00,London Irish,9,0,Gloucester,21,0,Madejski Stadium,Matthew Carley,30,A,N,13,Sun,Nov,2014,2014-15
30/Nov/2014,13:00,Gloucester,21,0,London Irish,9,0,Madejski Stadium,Matthew Carley,30,A,N,13,Sun,Nov,2014,2014-15
30/Nov/2014,14:30,London Welsh,14,0,Northampton,43,1,Kassam Stadium,Tim Wigglesworth,57,A,N,14,Sun,Nov,2014,2014-15
30/Nov/2014,14:30,Northampton,43,1,London Welsh,14,0,Kassam Stadium,Tim Wigglesworth,57,A,N,14,Sun,Nov,2014,2014-15
30/Nov/2014,15:15,Newcastle,13,1,Sale,18,0,Kingston Park,Dean Richards,31,A,N,15,Sun,Nov,2014,2014-15
30/Nov/2014,15:15,Sale,18,0,Newcastle,13,1,Kingston Park,Dean Richards,31,A,N,15,Sun,Nov,2014,2014-15
19/Dec/2014,19:45,Sale,18,0,Exeter,11,1,AJ Bell Stadium,Wayne Barnes,29,H,N,19,Fri,Dec,2014,2014-15
19/Dec/2014,19:45,Exeter,11,1,Sale,18,0,AJ Bell Stadium,Wayne Barnes,29,H,N,19,Fri,Dec,2014,2014-15
20/Dec/2014,15:00,Harlequins,15,0,Newcastle,7,0,Twickenham Stoop,Matthew Carley,22,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,15:00,Newcastle,7,0,Harlequins,15,0,Twickenham Stoop,Matthew Carley,22,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,15:00,Saracens,78,1,London Welsh,7,0,Allianz Park,Ian Tempest,85,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,15:00,London Welsh,7,0,Saracens,78,1,Allianz Park,Ian Tempest,85,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,15:15,Northampton,23,0,Leicester,19,1,Franklin's Gardens,JP Doyle,42,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,15:15,Leicester,19,1,Northampton,23,0,Franklin's Gardens,JP Doyle,42,H,N,15,Sat,Dec,2014,2014-15
20/Dec/2014,17:30,Gloucester,16,0,Bath,39,0,Kingsholm,Greg Garner,55,A,N,17,Sat,Dec,2014,2014-15
20/Dec/2014,17:30,Bath,39,0,Gloucester,16,0,Kingsholm,Greg Garner,55,A,N,17,Sat,Dec,2014,2014-15
21/Dec/2014,14:00,Wasps,48,1,London Irish,16,0,Ricoh Arena,Thomas Foley,64,H,N,14,Sun,Dec,2014,2014-15
21/Dec/2014,14:00,London Irish,16,0,Wasps,48,1,Ricoh Arena,Thomas Foley,64,H,N,14,Sun,Dec,2014,2014-15
26/Dec/2014,15:00,London Irish,24,0,London Welsh,9,0,Madejski Stadium,Greg Garner,33,H,N,15,Fri,Dec,2014,2014-15
26/Dec/2014,15:00,London Welsh,9,0,London Irish,24,0,Madejski Stadium,Greg Garner,33,H,N,15,Fri,Dec,2014,2014-15
27/Dec/2014,14:00,Bath,31,1,Exeter,14,0,The Recreation Ground,JP Doyle,45,H,N,14,Sat,Dec,2014,2014-15
27/Dec/2014,14:00,Exeter,14,0,Bath,31,1,The Recreation Ground,JP Doyle,45,H,N,14,Sat,Dec,2014,2014-15
27/Dec/2014,14:00,Sale,30,2,Leicester,32,1,AJ Bell Stadium,Tim Wigglesworth,62,A,N,14,Sat,Dec,2014,2014-15
27/Dec/2014,14:00,Leicester,32,1,Sale,30,2,AJ Bell Stadium,Tim Wigglesworth,62,A,N,14,Sat,Dec,2014,2014-15
27/Dec/2014,15:00,Newcastle,23,1,Saracens,25,0,Kingston Park,Luke Pearce,48,A,N,15,Sat,Dec,2014,2014-15
27/Dec/2014,15:00,Saracens,25,0,Newcastle,23,1,Kingston Park,Luke Pearce,48,A,N,15,Sat,Dec,2014,2014-15
27/Dec/2014,16:30,Harlequins,25,1,Northampton,30,0,Twickenham Stadium,Wayne Barnes,55,A,N,16,Sat,Dec,2014,2014-15
27/Dec/2014,16:30,Northampton,30,0,Harlequins,25,1,Twickenham Stadium,Wayne Barnes,55,A,N,16,Sat,Dec,2014,2014-15
28/Dec/2014,14:30,Gloucester,23,1,Wasps,30,0,Kingsholm,Dean Richards,53,A,N,14,Sun,Dec,2014,2014-15
28/Dec/2014,14:30,Wasps,30,0,Gloucester,23,1,Kingsholm,Dean Richards,53,A,N,14,Sun,Dec,2014,2014-15
02/Jan/2015,19:45,Northampton,39,1,Newcastle,31,1,Franklin's Gardens,Ian Tempest,70,H,N,19,Fri,Jan,2015,2014-15
02/Jan/2015,19:45,Newcastle,31,1,Northampton,39,1,Franklin's Gardens,Ian Tempest,70,H,N,19,Fri,Jan,2015,2014-15
03/Jan/2015,14:00,Saracens,22,0,London Irish,6,0,Allianz Park,Tim Wigglesworth,28,H,N,14,Sat,Jan,2015,2014-15
03/Jan/2015,14:00,London Irish,6,0,Saracens,22,0,Allianz Park,Tim Wigglesworth,28,H,N,14,Sat,Jan,2015,2014-15
03/Jan/2015,16:30,Exeter,25,1,Gloucester,26,0,Sandy Park,Andrew Small,51,A,N,16,Sat,Jan,2015,2014-15
03/Jan/2015,16:30,Gloucester,26,0,Exeter,25,1,Sandy Park,Andrew Small,51,A,N,16,Sat,Jan,2015,2014-15
04/Jan/2015,14:00,Leicester,17,0,Bath,8,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Bath,8,0,Leicester,17,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Wasps,41,1,Sale,16,0,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Sale,16,0,Wasps,41,1,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:30,London Welsh,13,0,Harlequins,24,1,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:30,Harlequins,24,1,London Welsh,13,0,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15
09/Jan/2015,19:45,Gloucester,24,0,Saracens,23,1,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15
09/Jan/2015,19:45,Saracens,23,1,Gloucester,24,0,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15
10/Jan/2015,14:00,Sale,20,0,Northampton,7,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15
10/Jan/2015,14:00,Northampton,7,0,Sale,20,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15
10/Jan/2015,15:00,Bath,39,1,Wasps,26,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:00,Wasps,26,1,Bath,39,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:15,Harlequins,32,1,Leicester,12,0,Twickenham Stoop,Luke Pearce,44,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:15,Leicester,12,0,Harlequins,32,1,Twickenham Stoop,Luke Pearce,44,H,N,15,Sat,Jan,2015,2014-15
11/Jan/2015,14:00,Newcastle,38,1,London Welsh,7,0,Kingston Park,Wayne Barnes,45,H,N,14,Sun,Jan,2015,2014-15
11/Jan/2015,14:00,London Welsh,7,0,Newcastle,38,1,Kingston Park,Wayne Barnes,45,H,N,14,Sun,Jan,2015,2014-15
11/Jan/2015,15:00,London Irish,28,1,Exeter,26,1,Madejski Stadium,Dean Richards,54,H,N,15,Sun,Jan,2015,2014-15
11/Jan/2015,15:00,Exeter,26,1,London Irish,28,1,Madejski Stadium,Dean Richards,54,H,N,15,Sun,Jan,2015,2014-15
13/Feb/2015,19:45,Leicester,18,0,Gloucester,15,1,Welford Road,JP Doyle,33,H,N,19,Fri,Feb,2015,2014-15
13/Feb/2015,19:45,Gloucester,15,1,Leicester,18,0,Welford Road,JP Doyle,33,H,N,19,Fri,Feb,2015,2014-15
13/Feb/2015,19:45,Northampton,15,0,London Irish,9,1,Franklin's Gardens,Andrew Small,24,H,N,19,Fri,Feb,2015,2014-15
